binary,octal,mnemonic,category,implemented,description,reference
1011001100000000,131400,JAF,CONDJUMP,,Jump if A is non-zero,III.2.7
1011011100000000,133400,JXN,CONDJUMP,,Jump if X is negative,III.2.7
1011010000000000,132000,JPC,CONDJUMP,,Increment X and jump if positive,III.2.7
1011010100000000,132400,JNC,CONDJUMP,,Increment X and jump if negative,III.2.7
1100000000000000,140000,SKP,SKIP,,Skip next location if specified condition true,III.2.7
1101100000000000,154000,SHT,SHIFT,,Shift T register,III.2.8
1101100010000000,154200,SHD,SHIFT,,Shift D register,III.2.8
1101101101000000,155500,SHA,SHIFT,,Shift A register,III.2.8
1101100110000000,154600,SAD,SHIFT,,Shift A and D register,III.2.8
0000001000000000,001000,ROT,SHIFT,,Rotational shift,III.2.8
0000010000000000,002000,ZIN,SHIFT,,Zero in shift,III.2.8
0000011000000000,003000,LIN,SHIFT,,Linked end input,III.2.8
,,SHR,SHIFT,,Shift Right,III.2.8
1101000000000000,150000,TRA,TRANS,,Transfer R to A,III.2.9
1101000001000000,150100,TRR,TRANS,,Transfer A to R,III.2.9
1101000010000000,150200,MCL,TRANS,,Masked clear of specified register,III.2.9
1101000011000000,150300,MST,TRANS,,Masked set of specified register,III.2.9
1100000110000000,140600,EXR,EXEC,,Execute instruction found in specified register,III.2.10
1101011110000000,153600,IRR,INTER,,Inter-register Read,III.2.10
1101011100000000,153400,IWR,INTER,,Inter-register Write,III.2.10
1101000100000010,150402,ION,SYS,,Turn on interrupt system,III.2.11
1101000100001000,150410,PON,SYS,,Turn on paging system,III.2.11
1101000100000001,150401,IOF,SYS,,Turn off interrupt system,III.2.11
1101000100000100,150404,POF,SYS,,Turn off paging system,III.2.11
1101001000000000,151000,WAIT,WAIT,,Wait,III.2.11
1110100000000000,164000,IOX,IO,,Transfer data to/from specified device,III.2.12
1100011110000000,143600,IDENT,IDENT,,Transfer IDENT code of interrupting device with highest priority on level to A register,III.2.13
